ell,L_over_M,resolution,observer,kappa_c_U,gamma_eff_over_kappa_c,kappa_U_transition
2,80.0,4096,r/M=4,0.7938077661554168,7.809497788798245,nan
2,80.0,4096,r/M=4,0.7944167866051087,7.807462940905159,nan
2,80.0,4096,r/M=4,0.7950258070548005,7.805628362266185,nan
2,80.0,4096,r/M=4,0.7956348275044924,7.804002218816442,nan
2,80.0,4096,r/M=4,0.7962438479541843,7.802592561517662,nan
2,80.0,4096,r/M=4,0.7968528684038761,7.801407297086913,nan
2,80.0,4096,r/M=4,0.7974618888535681,7.800454155600901,nan
2,80.0,4096,r/M=4,0.7980709093032599,7.799740654749524,nan
2,80.0,4096,r/M=4,0.7986799297529518,7.799274060640662,nan
2,80.0,4096,r/M=4,0.7992889502026437,7.799061345108377,nan
2,80.0,4096,r/M=4,0.7998979706523355,7.799109139377514,nan
2,80.0,4096,r/M=4,0.8005069911020274,7.79942368413021,nan
2,80.0,4096,r/M=4,0.8011160115517192,7.800010775971971,nan
2,80.0,4096,r/M=4,0.8017250320014111,7.800875710534157,nan
2,80.0,4096,r/M=4,0.802334052451103,7.8020232223377235,nan
2,80.0,4096,r/M=4,0.8029430729007948,7.8034574216200365,nan
2,80.0,4096,r/M=4,0.8035520933504867,7.805181728804973,nan
2,80.0,4096,r/M=4,0.8041611138001785,7.807198806848447,nan
2,80.0,4096,r/M=4,0.8047701342498704,7.809510492243418,nan
2,80.0,4096,r/M=4,0.8053791546995623,7.812117725431039,nan
2,80.0,4096,r/M=4,0.8059881751492541,7.815020481408979,nan
