ell,L_over_M,observer,kappa_c_U,gamma_eff_over_kappa_c
1,20.0,r/M=4,1.3540968867813008,2.1340269592091237
1,20.0,r/M=4,1.3563212284244148,2.1323650646780297
1,20.0,r/M=4,1.358545570067529,2.1306451365964487
1,20.0,r/M=4,1.360769911710643,2.1288726732090333
1,20.0,r/M=4,1.3629942533537573,2.1270532510057207
1,20.0,r/M=4,1.3652185949968714,2.125192514995916
1,20.0,r/M=4,1.3674429366399856,2.1232961690749144
1,20.0,r/M=4,1.3696672782830996,2.1213699664671464
1,20.0,r/M=4,1.371891619926214,2.1194197002285216
1,20.0,r/M=4,1.374115961569328,2.1174511938156146
1,20.0,r/M=4,1.3763403032124422,2.1154702916983728
1,20.0,r/M=4,1.3785646448555562,2.113482850015473
1,20.0,r/M=4,1.3807889864986704,2.11149472726561
1,20.0,r/M=4,1.3830133281417847,2.1095117750145236
1,20.0,r/M=4,1.3852376697848987,2.107539828620626
1,20.0,r/M=4,1.387462011428013,2.105584697963592
1,20.0,r/M=4,1.389686353071127,2.103652158164955
1,20.0,r/M=4,1.3919106947142412,2.1017479403032797
1,20.0,r/M=4,1.3941350363573553,2.0998777221045724
1,20.0,r/M=4,1.3963593780004695,2.098047118597876
1,20.0,r/M=4,1.3985837196435835,2.0962616727457903
1,20.0,r/M=4,1.4008080612866978,2.094526846029704
1,20.0,r/M=4,1.4030324029298118,2.0928480089799355
1,20.0,r/M=4,1.405256744572926,2.0912304316617787
1,20.0,r/M=4,1.40748108621604,2.089679274100864
1,20.0,r/M=4,1.4097054278591543,2.088199576646704
1,20.0,r/M=4,1.4119297695022683,2.086796250279699
1,20.0,r/M=4,1.4141541111453826,2.085474066852177
1,20.0,r/M=4,1.4163784527884966,2.0842376492668295
1,20.0,r/M=4,1.4186027944316109,2.0830914616023484
1,20.0,r/M=4,1.4208271360747249,2.082039799177263
1,20.0,r/M=4,1.4230514777178391,2.08108677856889
1,20.0,r/M=4,1.4252758193609534,2.0802363275913955
1,20.0,r/M=4,1.4275001610040676,2.079492175239279
1,20.0,r/M=4,1.4297245026471816,2.0788578416156835
1,20.0,r/M=4,1.431948844290296,2.0783366278547137
1,20.0,r/M=4,1.43417318593341,2.077931606056458
1,20.0,r/M=4,1.4363975275765242,2.077645609255704
1,20.0,r/M=4,1.4386218692196382,2.07748122144273
1,20.0,r/M=4,1.4408462108627524,2.0774407676704176
1,20.0,r/M=4,1.4430705525058665,2.0775263042706973
1,20.0,r/M=4,1.4452948941489807,2.0777396092093916
1,20.0,r/M=4,1.4475192357920947,2.0780821726272087
1,20.0,r/M=4,1.449743577435209,2.0785551875930848
1,20.0,r/M=4,1.451967919078323,2.0791595411206663
1,20.0,r/M=4,1.4541922607214373,2.0798958054972005
1,20.0,r/M=4,1.4564166023645513,2.08076422996669
1,20.0,r/M=4,1.4586409440076655,2.081764732829909
1,20.0,r/M=4,1.4608652856507798,2.0828968940182335
1,20.0,r/M=4,1.4630896272938938,2.0841599481994177
1,20.0,r/M=4,1.465313968937008,2.0855527784907033
1,20.0,r/M=4,1.467538310580122,2.087073910834844
1,20.0,r/M=4,1.4697626522232363,2.088721509126819
1,20.0,r/M=4,1.4719869938663503,2.090493371161659
1,20.0,r/M=4,1.4742113355094646,2.0923869254696013
1,20.0,r/M=4,1.4764356771525786,2.0943992291454157
1,20.0,r/M=4,1.4786600187956929,2.0965269667312465
1,20.0,r/M=4,1.480884360438807,2.098766450248156
1,20.0,r/M=4,1.4831087020819211,2.1011136204583902
1,20.0,r/M=4,1.4853330437250352,2.103564049436228
1,20.0,r/M=4,1.4875573853681494,2.1061129445443654
1,20.0,r/M=4,1.4897817270112634,2.1087551538822784
1,20.0,r/M=4,1.4920060686543777,2.111485173286817
1,20.0,r/M=4,1.4942304102974917,2.1142971549653833
1,20.0,r/M=4,1.496454751940606,2.1171849178139066
1,20.0,r/M=4,1.49867909358372,2.1201419594960527
1,20.0,r/M=4,1.5009034352268342,2.1231614703286223
1,20.0,r/M=4,1.5031277768699483,2.1262363490010143
1,20.0,r/M=4,1.5053521185130625,2.129359220190318
1,20.0,r/M=4,1.5075764601561765,2.1325224540595884
1,20.0,r/M=4,1.5098008017992908,2.13571818765822
1,20.0,r/M=4,1.512025143442405,2.138938348219711
1,20.0,r/M=4,1.514249485085519,2.1421746783115427
1,20.0,r/M=4,1.5164738267286333,2.1454187628057793
1,20.0,r/M=4,1.5186981683717473,2.1486620576091453
1,20.0,r/M=4,1.5209225100148616,2.1518959200579384
1,20.0,r/M=4,1.5231468516579756,2.1551116408846664
1,20.0,r/M=4,1.5253711933010898,2.1583004776347834
1,20.0,r/M=4,1.5275955349442039,2.16145368938801
1,20.0,r/M=4,1.529819876587318,2.164562572622774
1,20.0,r/M=4,1.5320442182304321,2.1676184980412043
1,20.0,r/M=4,1.5342685598735464,2.170612948167007
1,20.0,r/M=4,1.5364929015166604,2.1735375554887875
1,20.0,r/M=4,1.5387172431597747,2.1763841409226505
1,20.0,r/M=4,1.5409415848028887,2.1791447523527427
1,20.0,r/M=4,1.543165926446003,2.181811702995787
1,20.0,r/M=4,1.545390268089117,2.184377609334051
1,20.0,r/M=4,1.5476146097322312,2.1868354283351676
1,20.0,r/M=4,1.5498389513753452,2.189178493704694
1,20.0,r/M=4,1.5520632930184595,2.191400550904674
1,20.0,r/M=4,1.5542876346615735,2.1934957906641253
1,20.0,r/M=4,1.5565119763046877,2.1954588807385225
1,20.0,r/M=4,1.5587363179478018,2.1972849956676663
1,20.0,r/M=4,1.560960659590916,2.1989698443033916
1,20.0,r/M=4,1.5631850012340303,2.200509694900105
1,20.0,r/M=4,1.5654093428771443,2.2019013975681943
1,20.0,r/M=4,1.5676336845202585,2.2031424039166865
1,20.0,r/M=4,1.5698580261633726,2.2042307837468402
1,20.0,r/M=4,1.5720823678064868,2.2051652386714506
1,20.0,r/M=4,1.5743067094496008,2.205945112553498
1,20.0,r/M=4,1.576531051092715,2.2065703987063134
1,20.0,r/M=4,1.578755392735829,2.2070417438111862
1,20.0,r/M=4,1.5809797343789433,2.207360448527654
1,20.0,r/M=4,1.5832040760220574,2.207528464811009
1,20.0,r/M=4,1.5854284176651716,2.2075483899758312
1,20.0,r/M=4,1.5876527593082856,2.2074234575497966
1,20.0,r/M=4,1.5898771009514,2.2071575250019264
1,20.0,r/M=4,1.592101442594514,2.2067550584470217
1,20.0,r/M=4,1.5943257842376282,2.206221114420838
1,20.0,r/M=4,1.5965501258807422,2.205561318873737
1,20.0,r/M=4,1.5987744675238564,2.2047818435064475
