ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,217.12741127759648,-2.850574692292058
0,2048,r/M=20,217.17741127759643,-2.8505995239678605
0,2048,r/M=20,217.2274112775964,-2.8506243419786252
0,2048,r/M=20,217.27741127759634,-2.8506491463242964
0,2048,r/M=20,217.3274112775963,-2.8506739371312673
0,2048,r/M=20,217.37741127759625,-2.8506987144208416
0,2048,r/M=20,217.4274112775962,-2.850723478195627
0,2048,r/M=20,217.47741127759616,-2.8507482285785892
0,2048,r/M=20,217.52741127759612,-2.850772965596803
0,2048,r/M=20,217.57741127759607,-2.850797689280284
0,2048,r/M=20,217.62741127759602,-2.850822399717661
0,2048,r/M=20,217.67741127759598,-2.8508470969572555
0,2048,r/M=20,217.72741127759593,-2.8508717810008455
0,2048,r/M=20,217.7774112775959,-2.850896451945976
0,2048,r/M=20,217.82741127759584,-2.8509211098312908
0,2048,r/M=20,217.8774112775958,-2.850945754682911
0,2048,r/M=20,217.92741127759575,-2.8509703865856473
0,2048,r/M=20,217.9774112775957,-2.850995005568457
0,2048,r/M=20,218.02741127759566,-2.851019611657051
0,2048,r/M=20,218.07741127759562,-2.851044204929674
0,2048,r/M=20,218.12741127759557,-2.8510687854458694
0,2048,r/M=20,218.17741127759552,-2.8510933532247544
0,2048,r/M=20,218.22741127759548,-2.851117908300797
0,2048,r/M=20,218.27741127759543,-2.8511424507734624
0,2048,r/M=20,218.3274112775954,-2.851166980636645
0,2048,r/M=20,218.37741127759534,-2.8511914979026787
0,2048,r/M=20,218.4274112775953,-2.851216002704794
0,2048,r/M=20,218.47741127759525,-2.8512404950581907
0,2048,r/M=20,218.5274112775952,-2.8512649749654857
0,2048,r/M=20,218.57741127759516,-2.8512894425067805
0,2048,r/M=20,218.62741127759512,-2.851313897721688
0,2048,r/M=20,218.67741127759507,-2.851338340627931
0,2048,r/M=20,218.72741127759502,-2.851362771320783
0,2048,r/M=20,218.77741127759498,-2.8513871897959455
0,2048,r/M=20,218.82741127759493,-2.8514115961080275
0,2048,r/M=20,218.8774112775949,-2.8514359902928526
0,2048,r/M=20,218.92741127759484,-2.851460372376773
0,2048,r/M=20,218.9774112775948,-2.8514847424544527
0,2048,r/M=20,219.02741127759475,-2.8515091005270947
0,2048,r/M=20,219.0774112775947,-2.851533446617523
0,2048,r/M=20,219.12741127759466,-2.8515577808262615
0,2048,r/M=20,219.17741127759462,-2.8515821031665434
0,2048,r/M=20,219.22741127759457,-2.8516064136202877
0,2048,r/M=20,219.27741127759452,-2.8516307123063354
0,2048,r/M=20,219.32741127759448,-2.851654999243727
0,2048,r/M=20,219.37741127759443,-2.851679274445113
0,2048,r/M=20,219.4274112775944,-2.85170353798847
0,2048,r/M=20,219.47741127759434,-2.8517277898924127
0,2048,r/M=20,219.5274112775943,-2.8517520302003616
0,2048,r/M=20,219.57741127759425,-2.8517762589088
0,2048,r/M=20,219.6274112775942,-2.851800476151365
0,2048,r/M=20,219.67741127759416,-2.851824681930531
0,2048,r/M=20,219.72741127759411,-2.851848876232992
0,2048,r/M=20,219.77741127759407,-2.8518730591514485
0,2048,r/M=20,219.82741127759402,-2.8518972307097905
0,2048,r/M=20,219.87741127759398,-2.8519213909567567
0,2048,r/M=20,219.92741127759393,-2.8519455399409614
0,2048,r/M=20,219.9774112775939,-2.8519696776983885
0,2048,r/M=20,220.02741127759384,-2.8519938042336186
0,2048,r/M=20,220.0774112775938,-2.8520179196229996
0,2048,r/M=20,220.12741127759375,-2.8520420239083686
0,2048,r/M=20,220.1774112775937,-2.8520661171220474
0,2048,r/M=20,220.22741127759366,-2.8520901993212533
0,2048,r/M=20,220.27741127759361,-2.852114270519264
0,2048,r/M=20,220.32741127759357,-2.85213833076051
