r,u,du_dr
2.9473,0.37888081842884547,1.3766463969799283
2.9505999999999997,0.38341617116013793,1.3720364902211013
2.9539,0.3879361577169202,1.3673342631393506
2.9572,0.392440480290226,1.3625438438158866
2.9604999999999997,0.39692885447519405,1.3576692284823881
2.9638,0.40140100884200336,1.3527142851708103
2.9671,0.40585668451873963,1.347682757293456
2.9703999999999997,0.4102956347859632,1.3425782671518092
2.9737,0.41471762468273177,1.3374043193729632
2.977,0.41912243062384225,1.3321643042727922
2.9802999999999997,0.4235098400280545,1.3268615011452642
2.9836,0.42787965095704444,1.3214990814775833
2.9869,0.43223167176484106,1.3160801120910481
2.9901999999999997,0.4365657207575137,1.3106075582077052
2.9935,0.44088162586285096,1.3050842864430834
2.9968,0.4451792243097936,1.299513067725427
3.0000999999999998,0.44945836231738806,1.293896580141991
3.0034,0.45371889479300404,1.288237411713104
3.0067,0.45796068503959303,1.2825380630947807
3.01,0.46218360447174966,1.2768009502107946
3.0133,0.46638753234034286,1.2710284068151694
3.0166,0.4705723554654855,1.2652226869861616
3.0199,0.47473796797763207,1.2593859675528123
3.0231999999999997,0.47888427106656467,1.2535203504552608
3.0265,0.483011172738067,1.247627865039991
3.0298,0.48711858757806203,1.2417104702912791
3.0330999999999997,0.4912064365240153,1.2357700570000774
3.0363999999999995,0.49527464664338905,1.2298084498716524
3.0397,0.4993231509189562,1.22382740957326
3.0429999999999997,0.5033518880407699,1.217828634723186
3.0462999999999996,0.5073608022046086,1.2118137638224646
3.0496,0.5113498429166968,1.205784377130608
3.0528999999999997,0.5153189648045272,1.1997419984866708
3.0561999999999996,0.5192681274336067,1.1936880970769588
3.0595,0.523197295129947,1.187624089150707
3.0627999999999997,0.5271064368081291,1.1815513396850255
3.0660999999999996,0.5309955258047898,1.1754711640003945
3.0694,0.5348645397173526,1.1693848293279974
3.0726999999999998,0.5387134602478502,1.1632935563301523
3.0759999999999996,0.5425422730516991,1.1571985205750666
3.0793,0.5463509675912577,1.1511008539671672
3.0826,0.5501395369940355,1.1450016461341914
3.0858999999999996,0.5539079779154138,1.1389019457722203
3.0892,0.5576562904057324,1.1328027619498378
3.0925,0.5613844777816144,1.1267050653725383
3.0957999999999997,0.5650925465014035,1.1206097896085003
3.0991,0.5687805060445819,1.1145178322768305
3.1024,0.5724483687950451,1.10843005619935
