tau,u_rho_0.5,u_rho_0.75,u_rho_0.9,u_rho_0.95,u_rho_1
3.900000000000003,-0.17019006454245011,-0.15383020222170488,-0.17928021909533776,-0.19407932378681247,-0.21010944620810548
4.000000000000003,-0.17255504881854605,-0.1531797243982166,-0.1762300640051765,-0.19034599462829344,-0.20703314755398303
4.1000000000000005,-0.17462671990506465,-0.15237841357659393,-0.1730153745973741,-0.18622060227076437,-0.20257978853192593
4.199999999999998,-0.17642226701951244,-0.15142789830473327,-0.16967086778285936,-0.18187143568304093,-0.19740940924952924
4.299999999999996,-0.1779561896935733,-0.15032992305418552,-0.1662138255999845,-0.1773807894867864,-0.19187110608344055
4.399999999999994,-0.17924071178384873,-0.14908636552806062,-0.1626537004837063,-0.17278856466322173,-0.18614133916687617
4.499999999999992,-0.1802861491767542,-0.14769924292230974,-0.15899656415502547,-0.1681146946439191,-0.180306617280628
4.59999999999999,-0.18110123325527472,-0.14617071374069895,-0.15524709223209002,-0.16337007700575223,-0.1744090109034594
4.699999999999988,-0.18169339303187595,-0.14450307777162566,-0.15140942117939324,-0.15856166705854763,-0.1684696110421427
4.799999999999986,-0.18206899933987283,-0.14269877524184937,-0.14748750770941674,-0.153694761628969,-0.16249998432513046
4.8999999999999835,-0.18223357469971252,-0.14076038553659279,-0.1434852753006372,-0.14877398949410525,-0.15650751831893955
4.999999999999981,-0.18219197250732722,-0.13869062563307366,-0.13940667194613457,-0.14380372834262717,-0.1504978211624495
5.099999999999979,-0.18194852908605946,-0.1364923483017219,-0.13525569165617524,-0.13878827535430474,-0.14447576334431844
5.199999999999977,-0.18150719194700438,-0.13416854009421705,-0.13103638138999682,-0.13373191469766169,-0.13844591668187411
5.299999999999975,-0.18087162735003623,-0.13172231912442195,-0.12675284217424498,-0.12863894283402783,-0.13241273406496154
5.399999999999973,-0.180045309975857,-0.12915693264359338,-0.12240922788400344,-0.12351367684122781,-0.1263806206596827
5.499999999999971,-0.17903159722757786,-0.12647575440972686,-0.11800974304580436,-0.11836045597341056,-0.12035396066627285
5.599999999999969,-0.17783379039241792,-0.12368228185057127,-0.11355864018786267,-0.11318364052224669,-0.11433712619433409
5.699999999999966,-0.17645518461939866,-0.12078013301998519,-0.1090602169386213,-0.10798760957295608,-0.10833447902681057
5.799999999999964,-0.1748991094132864,-0.11777304334763264,-0.10451881295022723,-0.10277675827230907,-0.10235036956160454
5.899999999999962,-0.17316896111176822,-0.11466486218241628,-0.09993880667630893,-0.09755549484561019,-0.0963891346131696
5.99999999999996,-0.17126822860330485,-0.1114595491304878,-0.09532461201573827,-0.09232823745346247,-0.0904550947262895
6.099999999999958,-0.16920051335732167,-0.10816117018914166,-0.09068067482760817,-0.0870994109235076,-0.08455255125297526
6.199999999999956,-0.16696954467549435,-0.10477389367838316,-0.08601146932044426,-0.08187344337145037,-0.07868578328900223
6.299999999999954,-0.16457919093137138,-0.10130198597245893,-0.0813214943180716,-0.07665476271801538,-0.07285904450784822
6.3999999999999515,-0.16203346744369235,-0.0977498070341479,-0.07661526940455451,-0.07144779310579834,-0.06707655990770625
6.499999999999949,-0.159336541524511,-0.09412180575513666,-0.07189733095087052,-0.06625695121918695,-0.06134252247910396
6.599999999999947,-0.15649273515466974,-0.09042251510632858,-0.06717222802630458,-0.06108664251044306,-0.05566108979780027
6.699999999999945,-0.15350652566436732,-0.08665654710247916,-0.06244451819792401,-0.05594125733522916,-0.05003638054675133
6.799999999999943,-0.150382544733703,-0.08282858758609239,-0.05771876322187901,-0.050825167001154276,-0.04447247097080846
6.899999999999941,-0.1471255759755367,-0.07894339083606206,-0.05299952463067731,-0.045742719733256776,-0.03897339126796867
6.999999999999939,-0.14374055131924898,-0.07500577400709357,-0.04829135922098341,-0.04069823656069493,-0.033543121921258925
7.099999999999937,-0.14023254637772592,-0.07102061140649084,-0.043598814446906387,-0.03569600712928222,-0.02818558997564634
7.1999999999999345,-0.13660677494994283,-0.06699282861544466,-0.038926423724149846,-0.030740285444876014,-0.02290466526468421
7.299999999999932,-0.13286858278687014,-0.06292739646250188,-0.03427870165081189,-0.02583528555299791,-0.01770415659194062
7.39999999999993,-0.12902344072822178,-0.05882932485743571,-0.029660139151034895,-0.02098517716043612,-0.012587807872580403
7.499999999999928,-0.12507693730103017,-0.054703656494268324,-0.025075198548114977,-0.01619408120495099,-0.007559294240810328
7.599999999999926,-0.12103477085755966,-0.0505554604327145,-0.020528308574083,-0.01146606537956956,-0.002622218129220982
7.699999999999924,-0.11690274131912094,-0.04638982556782589,-0.016023859323171935,-0.0068051396183181,0.002219894673614101
7.799999999999922,-0.11268674158345184,-0.042211853998104926,-0.011566197156972227,-0.002215251550594058,0.006963598980605053
7.8999999999999195,-0.10839274864614377,-0.038026654302834306,-0.007159619569461484,0.002299718068272519,0.011605534171686978
7.999999999999917,-0.10402681448076977,-0.0338393347398185,-0.002808370020459444,0.006735959942384795,0.016142428160145203
8.099999999999916,-0.09959505671767979,-0.029654996375171286,0.0014833672535801146,0.011089740828360908,0.020571101352139118
8.199999999999914,-0.09510364915762787,-0.025478726157186563,0.005711472442194568,0.015357408127616351,0.024888470591565307
8.299999999999912,-0.09055881215333834,-0.02131558994671523,0.009871895367380201,0.01953539446902837,0.029091553082127478
8.39999999999991,-0.08596680288962237,-0.017170625516819388,0.013960660684032802,0.023620222272895355,0.03317747027823946
8.499999999999908,-0.0813339055906398,-0.013048835534798991,0.017973873064202922,0.027608508286841263,0.03714345173615159
8.599999999999905,-0.07666642168123483,-0.00895518053997639,0.021907722354752523,0.03149696808407611,0.040986838916475046
8.699999999999903,-0.07197065992790035,-0.004894571930874572,0.02575848869776734,0.035282420514214236,0.04470508892909242
8.799999999999901,-0.06725292658376492,-0.0008718649756460084,0.0295225476028715,0.03896179209665808,0.04829577821126911
