pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,cosmological_length_over_M,observer,observer_radius_over_M,output_cadence_over_M,delay_over_M,amplitude_ratio,flux_energy_ratio
2,53.0,69.0,62.514702374669525,62.51735502491406,62.51602869979179,0.002652650244534982,0.0005000000000006111,0.002699361650433693,0.009957167413441402,0.009964628376299136,0.009960897894870268,7.46096285773358e-06,0.007816467534493063,0.0001878006223042064,0.00014974526907135952,0.0,sds_L160,160.0,r8M,8.0,0.0010000000000012221,17.40840767803236,0.17986719964277367,0.03774543865402047
3,69.0,86.0,78.43451017692907,78.43555129121023,78.43503073406964,0.0010411142811648233,0.0005000000000006111,0.0011549540884580468,0.002106070066521184,0.0021037050634232653,0.002104887564972225,2.3650030979188892e-06,0.0019008811117586575,8.103366025576686e-06,6.2971102693692734e-06,1.0,sds_L160,160.0,r8M,8.0,0.0010000000000012221,15.919002034277852,0.21131504279912502,0.042052148347794895
0,18.0,35.0,26.072158338250933,26.072168766283998,26.072163552267465,1.0428033064613373e-05,0.0005000000000006111,0.0005001087320515487,0.061171928694399344,0.061168136946238565,0.06117003282031895,3.7917481607793735e-06,-0.061165780130547895,0.007254114370428337,0.0037313669510734204,0.0,sds_L160,160.0,r12M,12.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,44.74373343028549,44.74486187640753,44.74429765334651,0.0011284461220455455,0.0005000000000006111,0.0012342571248974993,0.06154414147542961,0.06150187535903152,0.06152300841723056,4.226611639809169e-05,-0.05601494691354875,0.007040694638543682,0.004866655674074284,1.0,sds_L160,160.0,r12M,12.0,0.0010000000000012221,18.672134101079042,1.0057704006461536,1.3042554479061004
2,53.0,69.0,62.32202404752037,62.32606681417459,62.32404543084748,0.004042766654215768,0.0005000000000006111,0.004073568732750139,0.010726400266337007,0.01073567749410902,0.010731038880223014,9.2772277720133e-06,0.00834746593423097,0.0002182102613432366,0.00017399349218158488,0.0,sds_L160,160.0,r12M,12.0,0.0010000000000012221,17.57974777750097,0.1744231817704416,0.03575216818984861
3,69.0,86.0,78.2575041700702,78.26041673378374,78.25896045192698,0.0029125637135365423,0.0005000000000006111,0.0029551696034932386,0.0022622771409449155,0.0022599665038150096,0.0022611218223799624,2.3106371299058508e-06,0.0020438914940218195,9.350337908074863e-06,7.2687272318172536e-06,1.0,sds_L160,160.0,r12M,12.0,0.0010000000000012221,15.934915021079505,0.21070856676767266,0.04177585690521913
0,18.0,35.0,26.679354090741764,26.67204861447889,26.675701352610325,0.0073054762628750325,0.0005000000000006111,0.007322566723999936,0.03238097136084586,0.032384623615845334,0.0323827974883456,3.6522549994727482e-06,-0.03238090441511096,0.0020286851471740565,0.0010548693116571228,0.0,sds_L160,160.0,outer,158.99046547057517,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,43.909704158268404,43.909419249480784,43.909561703874594,0.0002849087876199974,0.0005000000000006111,0.0005754763394473381,0.07899063628824414,0.07873310190198046,0.07886186909511231,0.00025753438626367753,-0.07167165218341592,0.011756431627518575,0.007828475563554045,1.0,sds_L160,160.0,outer,158.99046547057517,0.0010000000000012221,17.23386035126427,2.4353013084646036,7.421275296421394
2,53.0,69.0,61.888109114518855,61.90031391246532,61.89421151349209,0.012204797946466783,0.0005000000000006111,0.012215035526517327,0.012691547121650715,0.012730791357405886,0.012711169239528301,3.924423575517137e-05,0.00936806560551642,0.00030780888088603796,0.0002465532866127738,0.0,sds_L160,160.0,outer,158.99046547057517,0.0010000000000012221,17.984649809617494,0.16118270319205652,0.031494418627378486
3,69.0,86.0,77.86881309367773,77.87041309657148,77.8696130951246,0.0016000028937526167,0.0005000000000006111,0.0016763082234533596,0.0026801866080971184,0.0026744065588809973,0.002677296583489058,5.78004921612113e-06,0.002455892288239699,1.308553058440013e-05,1.012262671908949e-05,1.0,sds_L160,160.0,outer,158.99046547057517,0.0010000000000012221,15.975401581632518,0.2106255162714213,0.041056547483739936
