ell,observer,U_over_M,n_eff,positive_power
0,r/M=50,207.22741127764172,-2.610391711717897,2.610391711717897
0,r/M=50,209.2274112776399,-2.6124509825759956,2.6124509825759956
0,r/M=50,211.22741127763808,-2.6145108196799876,2.6145108196799876
0,r/M=50,213.22741127763626,-2.616559553840556,2.616559553840556
0,r/M=50,215.22741127763445,-2.618590648445809,2.618590648445809
0,r/M=50,217.22741127763263,-2.6205999389936117,2.6205999389936117
0,r/M=50,219.2274112776308,-2.6225840863955026,2.6225840863955026
0,r/M=50,221.227411277629,-2.6245408104489236,2.6245408104489236
0,r/M=50,223.22741127762717,-2.626469766386504,2.626469766386504
0,r/M=50,225.22741127762535,-2.628372486019323,2.628372486019323
0,r/M=50,227.22741127762353,-2.6302508508648876,2.6302508508648876
0,r/M=50,229.2274112776217,-2.632105080143407,2.632105080143407
0,r/M=50,231.2274112776199,-2.633932890165788,2.633932890165788
0,r/M=50,233.22741127761807,-2.63573076809104,2.63573076809104
0,r/M=50,235.22741127761626,-2.637496768330962,2.637496768330962
0,r/M=50,237.22741127761444,-2.639233048192125,2.639233048192125
0,r/M=50,239.22741127761262,-2.6409463828720434,2.6409463828720434
0,r/M=50,241.2274112776108,-2.6426461141864674,2.6426461141864674
0,r/M=50,243.22741127760898,-2.644340554770112,2.644340554770112
0,r/M=50,245.22741127760716,-2.6460337776276774,2.6460337776276774
0,r/M=50,247.22741127760534,-2.6477244513280542,2.6477244513280542
0,r/M=50,249.22741127760352,-2.6494071735369094,2.6494071735369094
0,r/M=50,251.2274112776017,-2.6510753894866133,2.6510753894866133
0,r/M=50,253.22741127759988,-2.652724262213551,2.652724262213551
0,r/M=50,255.2274112775981,-2.6543521262472813,2.6543521262472813
0,r/M=50,257.2274112775963,-2.6559601249580544,2.6559601249580544
0,r/M=50,259.22741127759446,-2.6575506638879784,2.6575506638879784
0,r/M=50,261.22741127759264,-2.6591258349794287,2.6591258349794287
0,r/M=50,263.2274112775908,-2.6606867648800256,2.6606867648800256
0,r/M=50,265.227411277589,-2.6622341121101796,2.6622341121101796
0,r/M=50,267.2274112775872,-2.6637691521517746,2.6637691521517746
0,r/M=50,269.22741127758536,-2.6652945168670286,2.6652945168670286
0,r/M=50,271.22741127758354,-2.666813888324177,2.666813888324177
