pulse,window_start,window_end,analytic_time,matched_time,matched_time_resolved,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
3,76.0,96.0,88.55694538177504,89.02373568230982,True,88.55694538177504,0.46679030053478243,0.0005000000000006111,0.466790568320904,0.000225093660112276,0.00021466090707599164,0.000225093660112276,1.0432753036284368e-05,0.00015483644740565318,1.1765514537031048e-07,5.050374090180666e-08,0.5,sds_L20,0.5,0.18584142981864143,10.080833669847436,89.24679410350879,-0.6898487217337532,0.21751383350574285
0,22.0,43.0,33.58320597212162,33.54749391283735,True,33.58320597212162,0.0357120592842648,0.0005000000000006111,0.035715559330953286,0.02610095161408637,0.026346834383880725,0.02610095161408637,0.0002458827697943561,-0.02607222625107234,0.001525427181677384,0.0005051577230953735,0.5,sds_L40,0.5,0.1908193832843955,0.0,33.61041620402265,-0.027210231901030113,
1,44.0,61.0,53.43062961697999,53.59717180757394,True,53.43062961697999,0.16654219059395103,0.0005000000000006111,0.16654294115282076,0.005473346806620745,0.005361306557790516,0.005473346806620745,0.00011204024883022887,-0.002870444026233068,6.802111914219888e-05,3.503489713046806e-05,0.5,sds_L40,0.5,0.1908193832843955,3.7872731396960035,53.956760598160734,-0.5261309811807422,0.20969912850483372
2,60.0,77.0,70.50612589262032,70.51486799366496,True,70.50612589262032,0.008742101044646233,0.0005000000000006111,0.00875638799247757,0.0011492153814691688,0.0011601214877191466,0.0011492153814691688,1.0906106249977763e-05,0.0011305266461403291,2.6864499798883656e-06,1.3733269019342753e-06,0.5,sds_L40,0.5,0.1908193832843955,7.045608808288683,70.6591608948599,-0.15303500223957656,0.2099657525956585
3,76.0,96.0,86.74860566829312,86.92019630550516,True,86.74860566829312,0.17159063721203438,0.0005000000000006111,0.17159136568846348,0.00022324228486322244,0.00022015409520964195,0.00022324228486322244,3.088189653580487e-06,8.308335218171133e-05,1.1095877328116121e-07,5.765566801068262e-08,0.5,sds_L40,0.5,0.1908193832843955,10.144988782091835,87.13300301964787,-0.3843973513547496,0.19425626254482184
0,22.0,43.0,33.27317445064493,33.254337250330515,True,33.27317445064493,0.01883720031441527,0.0005000000000006111,0.018843834951660116,0.025982407252401505,0.026080062577057098,0.025982407252401505,9.765532465559265e-05,-0.025973830186010502,0.0014971413367168996,0.0005050006597247856,0.5,sds_L80,0.5,0.19204371126656825,0.0,33.28897294624613,-0.015798495601202944,
1,44.0,61.0,53.16491699214865,53.241132586833224,True,53.16491699214865,0.07621559468457662,0.0005000000000006111,0.07621723475122712,0.0055742260781950475,0.0055297518018513625,0.0055742260781950475,4.447427634368499e-05,-0.0022342508567332457,7.039418916234854e-05,3.770618811077702e-05,0.5,sds_L80,0.5,0.19204371126656825,3.820084061229452,53.57155370584627,-0.40663671369762255,0.21453847690266775
2,60.0,77.0,70.05847595257251,70.06232922320766,True,70.05847595257251,0.00385327063514751,0.0005000000000006111,0.0038855751939308424,0.0011882526454536793,0.001191938599644636,0.0011882526454536793,3.685954190956733e-06,0.0011784721822650083,2.825145892850376e-06,1.456661852160064e-06,0.5,sds_L80,0.5,0.19204371126656825,7.064385820489839,70.18142656443705,-0.12295061186453893,0.21316908011711636
3,76.0,96.0,86.30613088270405,86.38049031343614,True,86.30613088270405,0.07435943073208762,0.0005000000000006111,0.07436111173725239,0.00022688256884040685,0.0002258663690079895,0.00022688256884040685,1.016199832417356e-06,4.883295386147266e-05,1.1386979020189343e-07,6.143851000357559e-08,0.5,sds_L80,0.5,0.19204371126656825,10.184645772650855,86.55081664374627,-0.24468576104221995,0.1909379875639008
0,22.0,43.0,33.12532489655794,33.115663547340084,True,33.12532489655794,0.009661349217857662,0.0005000000000006111,0.009674278717785605,0.025929455619849006,0.02597184432155625,0.025929455619849006,4.2388701707245235e-05,-0.02592670221137948,0.0014853739060250077,0.000504907132786686,0.5,sds_L160,0.5,0.19234857560438817,0.0,33.13527111749915,-0.00994622094120956,
